Country,EdLevel,YearsCodePro,Salary
Spain,Master's Degree,9.0,45401.0
Spain,Master's Degree,5.0,25944.0
Spain,Bachelor's Degree,7.0,59454.0
Spain,Bachelor's Degree,0.5,19458.0
Spain,Bachelor's Degree,3.0,70264.0
Spain,Bachelor's Degree,2.0,28105.0
Spain,Bachelor's Degree,9.0,24214.0
Spain,Master's Degree,3.0,32429.0
Spain,Master's Degree,3.0,42158.0
Spain,Bachelor's Degree,3.0,30267.0
Spain,Master's Degree,2.0,21079.0
Spain,Bachelor's Degree,3.0,29186.0
Spain,Master's Degree,5.0,37834.0
Spain,Bachelor's Degree,5.0,41077.0
Spain,Bachelor's Degree,5.0,60211.0
Spain,Post Graduate Degree,5.0,92964.0
Spain,Post Graduate Degree,5.0,27025.0
Spain,Master's Degree,8.0,43239.0
Spain,Bachelor's Degree,3.0,38915.0
Spain,Post Graduate Degree,4.0,25944.0
Spain,Less than Bachelor's Degree,3.0,27025.0
Spain,Master's Degree,3.0,31348.0
Spain,Post Graduate Degree,5.0,26484.0
Spain,Master's Degree,10.0,36324.0
Spain,Master's Degree,1.0,44320.0
Spain,Less than Bachelor's Degree,0.5,14268.0
Spain,Less than Bachelor's Degree,3.0,30267.0
Spain,Bachelor's Degree,6.0,97288.0
Spain,Master's Degree,5.0,37834.0
Spain,Bachelor's Degree,5.0,44320.0
Spain,Master's Degree,8.0,20760.0
Spain,Post Graduate Degree,5.0,43239.0
Spain,Master's Degree,2.0,35709.0
Spain,Less than Bachelor's Degree,2.0,15134.0
Spain,Master's Degree,10.0,54049.0
Spain,Post Graduate Degree,4.0,29186.0
Spain,Less than Bachelor's Degree,6.0,18552.0
Spain,Master's Degree,0.5,32429.0
Spain,Post Graduate Degree,0.5,14400.0
Spain,Master's Degree,0.5,17296.0
Spain,Less than Bachelor's Degree,4.0,37834.0
Spain,Less than Bachelor's Degree,1.0,14376.0
Spain,Bachelor's Degree,4.0,44320.0
Spain,Less than Bachelor's Degree,9.0,50806.0
Spain,Bachelor's Degree,8.0,43239.0
Spain,Post Graduate Degree,1.0,20760.0
Spain,Master's Degree,10.0,56211.0
Spain,Post Graduate Degree,2.0,16860.0
Spain,Master's Degree,7.0,19452.0
Spain,Bachelor's Degree,4.0,25944.0
Spain,Master's Degree,1.0,38915.0
Spain,Bachelor's Degree,5.0,37834.0
Spain,Post Graduate Degree,6.0,27025.0
Spain,Bachelor's Degree,6.0,48644.0
Spain,Master's Degree,5.0,27025.0
Spain,Master's Degree,5.0,23352.0
Spain,Master's Degree,7.0,46482.0
Spain,Post Graduate Degree,3.0,24863.0
Spain,Post Graduate Degree,6.0,51887.0
Spain,Bachelor's Degree,3.0,39456.0
Spain,Master's Degree,10.0,43239.0
Spain,Bachelor's Degree,4.0,29186.0
Spain,Post Graduate Degree,6.0,14568.0
Spain,Less than Bachelor's Degree,5.0,38916.0
Spain,Less than Bachelor's Degree,10.0,54481.0
Spain,Master's Degree,2.0,20647.0
Spain,Bachelor's Degree,2.0,21079.0
Spain,Master's Degree,2.0,19452.0
Spain,Less than Bachelor's Degree,3.0,36324.0
Spain,Master's Degree,7.0,30267.0
Spain,Bachelor's Degree,10.0,43239.0
Spain,Bachelor's Degree,4.0,28105.0
Spain,Master's Degree,10.0,22701.0
Spain,Bachelor's Degree,10.0,28105.0
Spain,Master's Degree,3.0,34591.0
Spain,Less than Bachelor's Degree,10.0,43239.0
Spain,Bachelor's Degree,1.0,20539.0
Spain,Less than Bachelor's Degree,6.0,19452.0
Spain,Master's Degree,10.0,43239.0
Spain,Less than Bachelor's Degree,5.0,36324.0
Spain,Bachelor's Degree,8.0,45942.0
Spain,Master's Degree,5.0,16212.0
Spain,Post Graduate Degree,4.0,19008.0
Spain,Less than Bachelor's Degree,2.0,35672.0
Spain,Master's Degree,10.0,64859.0
Spain,Less than Bachelor's Degree,7.0,37834.0
Spain,Less than Bachelor's Degree,1.0,17296.0
Spain,Master's Degree,6.0,48644.0
Spain,Less than Bachelor's Degree,2.0,12456.0
Spain,Post Graduate Degree,7.0,21620.0
Spain,Bachelor's Degree,7.0,27025.0
Spain,Master's Degree,5.0,30267.0
Spain,Bachelor's Degree,3.0,25944.0
Spain,Master's Degree,10.0,39996.0
Spain,Less than Bachelor's Degree,9.0,23352.0
Spain,Less than Bachelor's Degree,0.5,14916.0
Spain,Master's Degree,2.0,23352.0
Spain,Bachelor's Degree,6.0,41077.0
Spain,Bachelor's Degree,5.0,48644.0
Spain,Master's Degree,7.0,36324.0
Spain,Master's Degree,2.0,43239.0
Spain,Post Graduate Degree,0.5,23352.0
Spain,Less than Bachelor's Degree,2.0,21620.0
Spain,Master's Degree,10.0,44861.0
Spain,Post Graduate Degree,9.0,57292.0
Spain,Master's Degree,0.5,20539.0
Spain,Bachelor's Degree,6.0,50806.0
Spain,Bachelor's Degree,3.0,22701.0
Spain,Post Graduate Degree,5.0,43239.0
Spain,Master's Degree,9.0,64859.0
Spain,Bachelor's Degree,6.0,48644.0
Spain,Master's Degree,2.0,32429.0
Spain,Less than Bachelor's Degree,7.0,48644.0
Spain,Less than Bachelor's Degree,10.0,24648.0
Spain,Bachelor's Degree,4.0,35672.0
Spain,Bachelor's Degree,8.0,59454.0
Spain,Bachelor's Degree,2.0,14268.0
Spain,Less than Bachelor's Degree,2.0,20539.0
Spain,Bachelor's Degree,4.0,48644.0
Spain,Bachelor's Degree,4.0,34591.0
Spain,Bachelor's Degree,8.0,36753.0
Spain,Master's Degree,5.0,32429.0
Spain,Master's Degree,7.0,48644.0
Spain,Less than Bachelor's Degree,0.5,12972.0
Spain,Master's Degree,6.0,65000.0
Spain,Master's Degree,6.0,57292.0
Spain,Master's Degree,3.0,56424.0
Spain,Master's Degree,5.0,25944.0
Spain,Bachelor's Degree,3.0,32429.0
Spain,Master's Degree,5.0,18804.0
Spain,Bachelor's Degree,5.0,32429.0
Spain,Bachelor's Degree,8.0,59454.0
Spain,Less than Bachelor's Degree,7.0,32970.0
Spain,Bachelor's Degree,10.0,50824.0
Spain,Bachelor's Degree,10.0,43239.0
Spain,Bachelor's Degree,2.0,43239.0
